,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,ev_car_zip_count,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
57,AUI-10246,"1516 N North Spring St, Los Angeles, CA",34.06782860000001,-118.2305633,90012,6037206010,1.265594417263398,32.0,0.555210643015521,38734.0,1016,3943,846,911,1521,665
58,AUI-10220,"616 W Washington Blvd, Los Angeles, CA",34.0347482,-118.2737356,90015,6037224020,0.8416320273321998,34.0,0.042238648363252376,26493.0,224,2476,565,850,966,95
59,AUI-10243,"13076 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,91405,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,704,5005,1009,1377,2091,528
60,AUI-10204,"2843 S Flower St, Los Angeles, CA",34.0262014,-118.2760072,90007,6037224700,2.052654847241659,18.0,0.28955696202531644,10802.0,151,6456,61,6175,205,15
61,AUI-10200,"182 S Alameda St, Los Angeles, CA",34.047486,-118.2378968,90012,6037206031,-0.8536082280395552,29.0,0.1698677974557246,90590.0,1016,3788,227,1892,1480,189
62,AUI-10227,"19135 W Victory Blvd, Los Angeles, CA",34.186682,-118.549965,91335,6037133100,-0.537881267169334,34.0,0.4957772912105098,51417.0,435,5578,1056,1246,2126,1150
63,AUI-10235,"12387 W Osborne St, Los Angeles, CA",34.2609217,-118.4031581,91331,6037104704,0.5215081807051171,33.0,1.102642901044868,48581.0,229,4331,1261,1152,1549,369
64,AUI-10206,"6765 W Foothill Blvd, Los Angeles, CA",34.2479199,-118.2792176,91042,6037101220,-0.13476839107873534,30.0,0.4241851676901275,41728.0,290,3497,726,764,1434,573
65,AUI-10266,"12518 W Oxnard St, Los Angeles, CA",34.180236,-118.5055565,91316,6037980024,-1.501105554626723,29.0,1.5315315315315314,124038.0,598,264,74,47,112,31
66,AUI-10264,"12728 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,91405,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,704,5005,1009,1377,2091,528
67,AUI-10229,"15596 W Roxford St, Los Angeles, CA",34.3116785,-118.47127240000002,91312,6037106510,-0.8361951370590566,37.0,0.9611111111111112,91983.0,0,5347,1477,923,2431,516
68,AUI-10247,"13194 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,91405,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,704,5005,1009,1377,2091,528
69,AUI-10251,"1348 Abbot Kinney Blvd, Los Angeles, CA",33.990557,-118.46648229999998,90291,6037273502,0.2050678044182633,31.0,0.17252173913043478,83304.0,877,2892,250,991,1385,266
70,AUI-10267,"13629 W Sherman Way, Los Angeles, CA",34.2019429,-118.4512499,91401-2649,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,532,5005,1009,1377,2091,528
71,AUI-10249,"3773 Motor Ave, Los Angeles, CA",34.02090310000001,-118.4045579,90034-5702,6037269903,0.17059053417553974,27.0,0.2174977057204038,59757.0,712,3596,358,1743,1281,214
72,AUI-10236,"840 Imperial Hwy, Los Angeles, CA",33.9308114,-118.2907242,90047-4899,6037241202,1.3547828404168265,37.0,0.6640816326530612,40596.0,130,5436,1697,1321,1899,519
73,AUI-10233,"4121 Valley Blvd, Los Angeles, CA",34.06483,-118.194347,90032,6037201402,0.1366635032630607,33.0,1.2251867662753468,56698.0,283,5149,1090,1209,1759,1091
74,AUI-10231,"1862 Robertson Blvd, Los Angeles, CA",34.0452966,-118.3865051,90035-4232,6037269500,-0.96317497384883,24.0,0.6488651535380507,168224.0,495,3929,1203,431,1651,644
75,AUI-10238,"8931 Venice Blvd, Los Angeles, CA",34.0288024,-118.3898835,90034,6037270100,-0.6441939144680285,25.0,0.21925925925925926,66071.0,712,4583,493,1937,1803,350
76,AUI-10289,"4940 Paso Robles Ave, Los Angeles, CA",34.1609594,-118.5018593,91316-3402,6037139600,-0.21685336307918915,36.0,0.4140256237356709,79023.0,598,4803,961,897,2012,933
77,AUI-10285,"10928 W Pico Blvd, Los Angeles, CA",34.03898820000001,-118.4303435,90064,6037267800,-0.4460177468933856,22.0,0.17993920972644378,73049.0,876,2680,568,390,1221,501
78,AUI-10291,"4647 Marmion Way, Los Angeles, CA",34.099644399999995,-118.2054051,90042,6037185100,0.008000886339455247,35.0,0.8802568218298555,101103.0,543,6677,991,2061,2786,839
79,AUI-10293,"7224 Valjean Ave, Los Angeles, CA",34.2019408,-118.4857003,91406,6037127400,0.057101535699511735,29.0,0.6130622304374614,48193.0,469,6673,1797,1709,2811,356
80,AUI-10280,"16501 Otsego St, Los Angeles, CA",34.162938200000006,-118.4926688,91436,6037139701,-1.11512109762523,34.0,0.9671266233766234,144337.0,901,5336,990,1014,2166,1166
