OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
213,125502,3083,493,1952,275,21,294,4,14,30,2785,414,1808,234,19,269,4,12,25,1796,1687,109,Tract: 1255.02\nTotal Population: 3083,navigatela/reports/census_tracts_2010.cfm?PK=125502
214,125600,2657,363,1901,128,15,196,5,24,25,2240,285,1656,93,12,164,4,11,15,1287,1217,70,Tract: 1256.00\nTotal Population: 2657,navigatela/reports/census_tracts_2010.cfm?PK=125600
215,127102,4726,2925,1026,280,4,436,6,19,30,3431,2000,841,214,3,337,4,12,20,1514,1406,108,Tract: 1271.02\nTotal Population: 4726,navigatela/reports/census_tracts_2010.cfm?PK=127102
216,127103,2939,1812,762,166,0,160,3,27,9,2193,1263,648,137,0,123,2,14,6,1173,1088,85,Tract: 1271.03\nTotal Population: 2939,navigatela/reports/census_tracts_2010.cfm?PK=127103
217,127104,3573,1875,1156,179,11,310,16,10,16,2676,1288,958,141,10,249,12,6,12,1234,1132,102,Tract: 1271.04\nTotal Population: 3573,navigatela/reports/census_tracts_2010.cfm?PK=127104
218,127210,5531,3411,1104,361,11,585,6,34,19,4063,2287,950,278,10,497,6,19,16,1885,1760,125,Tract: 1272.10\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=127210
219,127220,4931,3145,946,252,13,538,10,11,16,3642,2160,801,179,8,465,10,9,10,1658,1585,73,Tract: 1272.20\nTotal Population: 4931,navigatela/reports/census_tracts_2010.cfm?PK=127220
220,127300,4460,2184,1329,375,19,484,9,27,33,3509,1557,1167,308,16,414,8,15,24,1761,1637,124,Tract: 1273.00\nTotal Population: 4460,navigatela/reports/census_tracts_2010.cfm?PK=127300
221,127400,5818,4259,892,303,14,288,10,25,27,4096,2804,755,239,12,240,9,17,20,1809,1719,90,Tract: 1274.00\nTotal Population: 5818,navigatela/reports/census_tracts_2010.cfm?PK=127400
222,127520,4045,3318,251,126,7,274,2,45,22,2713,2131,229,108,3,205,2,21,14,1239,1163,76,Tract: 1275.20\nTotal Population: 4045,navigatela/reports/census_tracts_2010.cfm?PK=127520
223,127603,2938,2190,411,129,8,175,5,6,14,2086,1476,350,100,7,135,5,4,9,897,843,54,Tract: 1276.03\nTotal Population: 2938,navigatela/reports/census_tracts_2010.cfm?PK=127603
224,127604,2939,1562,817,214,6,292,10,17,21,2241,1052,728,173,5,244,7,15,17,1204,1137,67,Tract: 1276.04\nTotal Population: 2939,navigatela/reports/census_tracts_2010.cfm?PK=127604
225,127605,3549,2579,504,220,8,216,3,9,10,2501,1728,423,154,6,177,3,4,6,1117,1062,55,Tract: 1276.05\nTotal Population: 3549,navigatela/reports/census_tracts_2010.cfm?PK=127605
226,127606,3164,1925,766,183,10,245,7,16,12,2356,1302,676,144,10,198,6,12,8,1107,1042,65,Tract: 1276.06\nTotal Population: 3164,navigatela/reports/census_tracts_2010.cfm?PK=127606
227,127711,3356,1854,1059,158,17,224,5,18,21,2533,1297,892,122,17,175,5,8,17,1187,1114,73,Tract: 1277.11\nTotal Population: 3356,navigatela/reports/census_tracts_2010.cfm?PK=127711
228,127712,2991,1785,737,198,6,236,6,10,13,2257,1244,643,157,6,187,6,5,9,1166,1060,106,Tract: 1277.12\nTotal Population: 2991,navigatela/reports/census_tracts_2010.cfm?PK=127712
229,127803,4037,2633,854,153,13,337,2,17,28,2978,1797,739,120,9,285,2,8,18,1379,1263,116,Tract: 1278.03\nTotal Population: 4037,navigatela/reports/census_tracts_2010.cfm?PK=127803
230,127804,3933,2001,1103,281,14,480,3,12,39,2999,1360,973,220,14,393,1,10,28,1546,1425,121,Tract: 1278.04\nTotal Population: 3933,navigatela/reports/census_tracts_2010.cfm?PK=127804
231,127805,3768,2274,1042,169,14,243,1,12,13,2923,1600,953,136,13,202,1,9,9,1202,1136,66,Tract: 1278.05\nTotal Population: 3768,navigatela/reports/census_tracts_2010.cfm?PK=127805
232,127806,3447,2096,810,205,14,275,10,15,22,2639,1516,684,163,12,235,9,7,13,1263,1200,63,Tract: 1278.06\nTotal Population: 3447,navigatela/reports/census_tracts_2010.cfm?PK=127806
233,127910,4769,3201,964,247,7,264,14,55,17,3501,2222,826,188,6,217,12,13,17,1569,1454,115,Tract: 1279.10\nTotal Population: 4769,navigatela/reports/census_tracts_2010.cfm?PK=127910
234,127920,4100,2237,1385,131,7,296,14,13,17,3073,1548,1144,104,6,239,10,8,14,1312,1244,68,Tract: 1279.20\nTotal Population: 4100,navigatela/reports/census_tracts_2010.cfm?PK=127920
235,128101,3738,1775,1571,132,3,194,17,30,16,2796,1244,1250,95,3,167,12,13,12,1262,1211,51,Tract: 1281.01\nTotal Population: 3738,navigatela/reports/census_tracts_2010.cfm?PK=128101
236,128102,4795,3265,871,287,18,307,13,16,18,3536,2232,742,241,16,272,9,9,15,1475,1387,88,Tract: 1281.02\nTotal Population: 4795,navigatela/reports/census_tracts_2010.cfm?PK=128102
237,128210,4822,3814,533,220,13,197,2,19,24,3411,2588,452,170,10,161,2,8,20,1541,1429,112,Tract: 1282.10\nTotal Population: 4822,navigatela/reports/census_tracts_2010.cfm?PK=128210
238,128220,3011,1340,1353,135,5,152,3,14,9,2337,939,1144,106,5,124,3,9,7,1205,1131,74,Tract: 1282.20\nTotal Population: 3011,navigatela/reports/census_tracts_2010.cfm?PK=128220
239,128302,4688,3648,610,195,12,179,1,33,10,3429,2539,543,164,11,143,1,18,10,1488,1382,106,Tract: 1283.02\nTotal Population: 4688,navigatela/reports/census_tracts_2010.cfm?PK=128302
240,128303,3982,3402,289,118,12,144,0,12,5,2811,2360,229,84,11,119,0,4,4,1127,1056,71,Tract: 1283.03\nTotal Population: 3982,navigatela/reports/census_tracts_2010.cfm?PK=128303
241,128400,4114,1489,2076,186,22,295,4,16,26,3193,1035,1752,137,17,225,2,9,16,1723,1654,69,Tract: 1284.00\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=128400
242,128500,4015,688,2637,277,18,356,8,14,17,3412,527,2313,222,17,301,7,10,15,2111,1945,166,Tract: 1285.00\nTotal Population: 4015,navigatela/reports/census_tracts_2010.cfm?PK=128500
243,128601,4288,2082,1732,208,10,191,16,20,29,3271,1421,1467,167,9,157,14,14,22,1702,1609,93,Tract: 1286.01\nTotal Population: 4288,navigatela/reports/census_tracts_2010.cfm?PK=128601
244,128602,3189,562,2235,131,3,223,3,18,14,2596,423,1867,107,3,170,2,14,10,1411,1343,68,Tract: 1286.02\nTotal Population: 3189,navigatela/reports/census_tracts_2010.cfm?PK=128602
245,128702,5639,760,3951,384,23,463,14,22,22,4792,598,3431,314,20,385,11,20,13,2844,2705,139,Tract: 1287.02\nTotal Population: 5639,navigatela/reports/census_tracts_2010.cfm?PK=128702
246,128801,3307,489,2002,354,12,402,4,17,27,2882,380,1802,307,12,348,4,13,16,1964,1825,139,Tract: 1288.01\nTotal Population: 3307,navigatela/reports/census_tracts_2010.cfm?PK=128801
247,128802,4325,797,2718,297,18,438,5,21,31,3513,587,2295,234,14,344,4,16,19,2184,2016,168,Tract: 1288.02\nTotal Population: 4325,navigatela/reports/census_tracts_2010.cfm?PK=128802
248,128910,4083,581,2666,323,17,418,6,29,43,3362,451,2264,242,13,341,4,19,28,1937,1824,113,Tract: 1289.10\nTotal Population: 4083,navigatela/reports/census_tracts_2010.cfm?PK=128910
249,131010,6409,3570,1361,285,15,1101,9,29,39,4724,2420,1147,218,11,883,7,11,27,2090,1966,124,Tract: 1310.10\nTotal Population: 6409,navigatela/reports/census_tracts_2010.cfm?PK=131010
250,131020,5698,3585,1215,166,9,666,12,23,22,4172,2432,1044,128,8,529,11,8,12,1613,1531,82,Tract: 1310.20\nTotal Population: 5698,navigatela/reports/census_tracts_2010.cfm?PK=131020
251,131100,3252,1387,1391,151,16,285,6,10,6,2502,968,1180,106,13,217,5,9,4,1063,1020,43,Tract: 1311.00\nTotal Population: 3252,navigatela/reports/census_tracts_2010.cfm?PK=131100
252,131200,3429,1246,1500,147,27,456,17,20,16,2696,864,1309,105,24,358,15,10,11,1229,1150,79,Tract: 1312.00\nTotal Population: 3429,navigatela/reports/census_tracts_2010.cfm?PK=131200
253,131300,4902,3059,1023,107,20,643,11,17,22,3708,2151,893,82,16,526,11,9,20,1220,1177,43,Tract: 1313.00\nTotal Population: 4902,navigatela/reports/census_tracts_2010.cfm?PK=131300
254,131400,5897,2767,1672,376,23,967,26,37,29,4494,1898,1444,288,21,772,24,24,23,1913,1833,80,Tract: 1314.00\nTotal Population: 5897,navigatela/reports/census_tracts_2010.cfm?PK=131400
255,131600,5494,2993,1587,148,28,697,8,5,28,4183,2092,1379,108,21,559,4,2,18,1500,1427,73,Tract: 1316.00\nTotal Population: 5494,navigatela/reports/census_tracts_2010.cfm?PK=131600
256,131701,4541,1728,1399,308,16,1033,1,29,27,3525,1226,1237,227,13,789,1,14,18,1757,1630,127,Tract: 1317.01\nTotal Population: 4541,navigatela/reports/census_tracts_2010.cfm?PK=131701
257,131702,3751,1993,1019,208,10,498,6,5,12,2870,1396,894,160,10,399,6,1,4,1201,1146,55,Tract: 1317.02\nTotal Population: 3751,navigatela/reports/census_tracts_2010.cfm?PK=131702
258,131800,5341,3027,1267,148,23,817,7,24,28,3952,2034,1105,113,17,638,6,15,24,1643,1528,115,Tract: 1318.00\nTotal Population: 5341,navigatela/reports/census_tracts_2010.cfm?PK=131800
259,131900,4210,2046,1549,139,24,407,5,19,21,3255,1456,1314,99,20,333,5,14,14,1359,1294,65,Tract: 1319.00\nTotal Population: 4210,navigatela/reports/census_tracts_2010.cfm?PK=131900
260,132001,3202,1067,1666,123,14,296,3,20,13,2483,730,1378,96,12,245,1,15,6,1166,1111,55,Tract: 1320.01\nTotal Population: 3202,navigatela/reports/census_tracts_2010.cfm?PK=132001
261,132002,3299,1305,1566,96,13,277,7,21,14,2566,911,1315,79,11,228,5,9,8,1101,1065,36,Tract: 1320.02\nTotal Population: 3299,navigatela/reports/census_tracts_2010.cfm?PK=132002
262,132101,4259,2148,1341,310,7,403,11,19,20,3214,1473,1148,227,5,328,8,10,15,1587,1504,83,Tract: 1321.01\nTotal Population: 4259,navigatela/reports/census_tracts_2010.cfm?PK=132101
263,132102,5310,2474,1859,265,23,627,10,19,33,4109,1700,1626,217,21,505,9,12,19,2086,1957,129,Tract: 1321.02\nTotal Population: 5310,navigatela/reports/census_tracts_2010.cfm?PK=132102
264,132300,6494,3561,1666,221,27,936,16,34,33,4949,2468,1457,172,19,776,13,23,21,2399,2281,118,Tract: 1323.00\nTotal Population: 6494,navigatela/reports/census_tracts_2010.cfm?PK=132300
265,132501,3763,1798,1363,123,9,443,1,20,6,2996,1263,1254,89,9,361,1,14,5,1162,1074,88,Tract: 1325.01\nTotal Population: 3763,navigatela/reports/census_tracts_2010.cfm?PK=132501
266,132502,3672,1470,1598,132,11,423,7,14,17,2895,1075,1347,94,7,341,7,12,12,1328,1277,51,Tract: 1325.02\nTotal Population: 3672,navigatela/reports/census_tracts_2010.cfm?PK=132502
267,132700,4912,2949,1429,151,17,328,8,15,15,3637,2034,1193,105,14,269,7,7,8,1509,1461,48,Tract: 1327.00\nTotal Population: 4912,navigatela/reports/census_tracts_2010.cfm?PK=132700
268,132900,3461,766,2147,113,22,390,4,9,10,2794,545,1825,78,17,314,3,5,7,1329,1275,54,Tract: 1329.00\nTotal Population: 3461,navigatela/reports/census_tracts_2010.cfm?PK=132900
269,133000,4449,2489,1215,152,12,542,2,16,21,3344,1718,1039,109,12,438,2,9,17,1263,1199,64,Tract: 1330.00\nTotal Population: 4449,navigatela/reports/census_tracts_2010.cfm?PK=133000
270,133100,5446,1804,2748,220,19,596,24,16,19,4380,1251,2407,183,13,484,20,12,10,2116,1936,180,Tract: 1331.00\nTotal Population: 5446,navigatela/reports/census_tracts_2010.cfm?PK=133100
271,134001,3765,2840,334,106,1,453,13,8,10,2692,1976,270,79,1,347,8,5,6,955,912,43,Tract: 1340.01\nTotal Population: 3765,navigatela/reports/census_tracts_2010.cfm?PK=134001
272,134002,3372,2057,615,114,12,543,5,16,10,2542,1444,550,92,8,427,5,11,5,1045,980,65,Tract: 1340.02\nTotal Population: 3372,navigatela/reports/census_tracts_2010.cfm?PK=134002
273,134101,4922,2021,1299,204,11,1328,11,16,32,3720,1363,1130,131,10,1046,7,5,28,1479,1410,69,Tract: 1341.01\nTotal Population: 4922,navigatela/reports/census_tracts_2010.cfm?PK=134101
274,134103,4193,1760,1404,202,19,784,2,9,13,3249,1217,1230,150,19,617,2,5,9,1334,1276,58,Tract: 1341.03\nTotal Population: 4193,navigatela/reports/census_tracts_2010.cfm?PK=134103
275,134104,4322,1856,856,265,6,1266,11,28,34,3234,1275,698,212,6,993,9,10,31,1395,1244,151,Tract: 1341.04\nTotal Population: 4322,navigatela/reports/census_tracts_2010.cfm?PK=134104
276,134201,4270,2328,1180,115,6,612,6,6,17,3086,1497,999,85,6,481,3,3,12,1231,1154,77,Tract: 1342.01\nTotal Population: 4270,navigatela/reports/census_tracts_2010.cfm?PK=134201
277,134302,3732,850,2031,141,16,639,8,12,35,2934,612,1697,99,12,480,7,7,20,1267,1239,28,Tract: 1343.02\nTotal Population: 3732,navigatela/reports/census_tracts_2010.cfm?PK=134302
278,134303,5057,1786,2146,188,27,865,12,8,25,3982,1258,1854,139,25,679,12,1,14,1838,1753,85,Tract: 1343.03\nTotal Population: 5057,navigatela/reports/census_tracts_2010.cfm?PK=134303
279,134304,2882,817,1326,126,13,569,4,14,13,2289,555,1151,95,10,460,2,6,10,953,909,44,Tract: 1343.04\nTotal Population: 2882,navigatela/reports/census_tracts_2010.cfm?PK=134304
280,134305,3847,2985,329,114,2,393,1,9,14,2620,1923,281,81,2,316,1,5,11,1076,1017,59,Tract: 1343.05\nTotal Population: 3847,navigatela/reports/census_tracts_2010.cfm?PK=134305
281,134306,3498,1555,931,303,21,643,5,8,32,2635,1053,821,218,14,506,3,7,13,1244,1142,102,Tract: 1343.06\nTotal Population: 3498,navigatela/reports/census_tracts_2010.cfm?PK=134306
282,134421,3941,330,2902,85,13,577,8,15,11,2976,248,2227,59,11,409,5,10,7,1400,1372,28,Tract: 1344.21\nTotal Population: 3941,navigatela/reports/census_tracts_2010.cfm?PK=134421
283,134422,4684,748,2891,193,8,805,7,8,24,3648,544,2322,131,8,623,4,6,10,1598,1557,41,Tract: 1344.22\nTotal Population: 4684,navigatela/reports/census_tracts_2010.cfm?PK=134422
284,134423,3414,419,2301,96,7,555,8,9,19,2707,299,1882,64,7,432,5,6,12,1269,1235,34,Tract: 1344.23\nTotal Population: 3414,navigatela/reports/census_tracts_2010.cfm?PK=134423
285,134424,2887,194,2063,55,6,527,0,24,18,2208,131,1586,44,2,420,0,12,13,951,941,10,Tract: 1344.24\nTotal Population: 2887,navigatela/reports/census_tracts_2010.cfm?PK=134424
286,134520,5453,3968,795,161,14,455,10,32,18,3967,2723,696,134,14,366,7,13,14,1935,1771,164,Tract: 1345.20\nTotal Population: 5453,navigatela/reports/census_tracts_2010.cfm?PK=134520
287,134521,3126,2821,162,30,4,91,0,14,4,2133,1932,109,19,3,65,0,1,4,744,693,51,Tract: 1345.21\nTotal Population: 3126,navigatela/reports/census_tracts_2010.cfm?PK=134521
288,134522,3954,2768,613,209,9,310,19,7,19,2734,1816,516,130,8,239,7,5,13,1327,1241,86,Tract: 1345.22\nTotal Population: 3954,navigatela/reports/census_tracts_2010.cfm?PK=134522
289,134710,5287,3646,739,175,13,654,2,30,28,3719,2405,631,123,9,512,2,17,20,1606,1525,81,Tract: 1347.10\nTotal Population: 5287,navigatela/reports/census_tracts_2010.cfm?PK=134710
290,134720,4594,2066,1276,301,17,852,9,31,42,3527,1441,1130,211,16,670,9,24,26,1642,1543,99,Tract: 1347.20\nTotal Population: 4594,navigatela/reports/census_tracts_2010.cfm?PK=134720
291,134800,5949,2781,1991,261,30,830,10,10,36,4617,1970,1733,188,27,658,10,8,23,1903,1832,71,Tract: 1348.00\nTotal Population: 5949,navigatela/reports/census_tracts_2010.cfm?PK=134800
292,134901,3069,775,1799,148,11,296,7,18,15,2460,561,1517,109,10,239,7,8,9,1176,1128,48,Tract: 1349.01\nTotal Population: 3069,navigatela/reports/census_tracts_2010.cfm?PK=134901
293,134903,4216,1653,1287,386,13,807,4,26,40,3398,1213,1151,299,12,671,4,17,31,2138,1824,314,Tract: 1349.03\nTotal Population: 4216,navigatela/reports/census_tracts_2010.cfm?PK=134903
294,134904,4338,2363,1281,204,10,452,7,6,15,3250,1622,1094,141,7,367,7,2,10,1451,1363,88,Tract: 1349.04\nTotal Population: 4338,navigatela/reports/census_tracts_2010.cfm?PK=134904
295,134905,2819,355,1726,264,10,428,5,11,20,2425,289,1525,212,6,361,5,11,16,1774,1445,329,Tract: 1349.05\nTotal Population: 2819,navigatela/reports/census_tracts_2010.cfm?PK=134905
296,135102,3513,615,2260,140,9,439,7,20,23,2804,428,1899,97,8,337,4,16,15,1231,1183,48,Tract: 1351.02\nTotal Population: 3513,navigatela/reports/census_tracts_2010.cfm?PK=135102
297,135111,2967,691,1731,139,16,357,7,8,18,2352,477,1456,99,14,280,6,7,13,1184,1116,68,Tract: 1351.11\nTotal Population: 2967,navigatela/reports/census_tracts_2010.cfm?PK=135111
298,135113,2795,379,1467,285,19,593,18,21,13,2249,283,1254,201,15,455,15,15,11,1457,1288,169,Tract: 1351.13\nTotal Population: 2795,navigatela/reports/census_tracts_2010.cfm?PK=135113
299,135114,4445,563,2274,241,27,1281,4,11,44,3868,424,2130,209,21,1038,4,10,32,2689,2498,191,Tract: 1351.14\nTotal Population: 4445,navigatela/reports/census_tracts_2010.cfm?PK=135114
300,135201,2620,379,1780,98,9,339,4,5,6,2017,253,1435,63,8,245,4,5,4,917,866,51,Tract: 1352.01\nTotal Population: 2620,navigatela/reports/census_tracts_2010.cfm?PK=135201
301,135202,4255,658,2854,138,33,541,4,10,17,3221,436,2253,91,26,395,4,5,11,1507,1466,41,Tract: 1352.02\nTotal Population: 4255,navigatela/reports/census_tracts_2010.cfm?PK=135202
302,135203,6273,809,4360,155,25,853,17,16,38,4851,561,3486,109,18,636,12,11,18,2198,2143,55,Tract: 1352.03\nTotal Population: 6273,navigatela/reports/census_tracts_2010.cfm?PK=135203
303,137103,4199,492,2580,273,17,763,9,15,50,3615,388,2319,219,14,622,9,12,32,2523,2136,387,Tract: 1371.03\nTotal Population: 4199,navigatela/reports/census_tracts_2010.cfm?PK=137103
304,137104,2717,246,2095,91,6,256,8,9,6,2249,177,1777,62,4,208,8,7,6,1085,1046,39,Tract: 1371.04\nTotal Population: 2717,navigatela/reports/census_tracts_2010.cfm?PK=137104
305,137201,5270,720,3372,301,28,766,9,29,45,4242,507,2830,217,20,604,9,24,31,2339,2186,153,Tract: 1372.01\nTotal Population: 5270,navigatela/reports/census_tracts_2010.cfm?PK=137201
306,137301,2264,170,1788,67,12,218,1,6,2,1772,130,1417,51,9,159,1,4,1,807,776,31,Tract: 1373.01\nTotal Population: 2264,navigatela/reports/census_tracts_2010.cfm?PK=137301
307,137302,4338,336,3404,93,4,454,10,10,27,3478,220,2811,67,3,349,8,5,15,1606,1560,46,Tract: 1373.02\nTotal Population: 4338,navigatela/reports/census_tracts_2010.cfm?PK=137302
308,137401,4157,411,3210,142,16,334,5,16,23,3210,283,2534,100,13,252,4,7,17,1707,1624,83,Tract: 1374.01\nTotal Population: 4157,navigatela/reports/census_tracts_2010.cfm?PK=137401
309,137402,5364,414,4096,265,12,517,7,22,31,4309,289,3374,196,9,404,6,11,20,2151,2063,88,Tract: 1374.02\nTotal Population: 5364,navigatela/reports/census_tracts_2010.cfm?PK=137402
310,137501,4124,535,2789,253,9,484,6,12,36,3328,401,2300,186,7,399,5,9,21,1820,1728,92,Tract: 1375.01\nTotal Population: 4124,navigatela/reports/census_tracts_2010.cfm?PK=137501
311,137502,4202,417,3162,195,16,359,9,15,29,3424,303,2661,131,14,279,7,12,17,2023,1853,170,Tract: 1375.02\nTotal Population: 4202,navigatela/reports/census_tracts_2010.cfm?PK=137502
312,137504,1939,83,1610,77,0,149,3,7,10,1539,56,1314,44,0,112,2,4,7,724,701,23,Tract: 1375.04\nTotal Population: 1939,navigatela/reports/census_tracts_2010.cfm?PK=137504
313,138000,4484,350,3604,123,27,327,7,17,29,3626,262,2954,86,22,260,6,14,22,1879,1809,70,Tract: 1380.00\nTotal Population: 4484,navigatela/reports/census_tracts_2010.cfm?PK=138000
314,139001,4767,851,3149,251,25,437,15,10,29,3851,641,2633,184,21,337,8,8,19,2185,2032,153,Tract: 1390.01\nTotal Population: 4767,navigatela/reports/census_tracts_2010.cfm?PK=139001
315,139200,5175,912,3393,268,21,512,20,25,24,4205,676,2848,200,16,416,17,16,16,2433,2227,206,Tract: 1392.00\nTotal Population: 5175,navigatela/reports/census_tracts_2010.cfm?PK=139200
316,139301,4462,426,3397,177,12,398,21,13,18,3531,309,2746,119,10,310,13,11,13,1712,1610,102,Tract: 1393.01\nTotal Population: 4462,navigatela/reports/census_tracts_2010.cfm?PK=139301
317,139302,4422,1197,2185,447,18,518,15,16,26,3589,856,1924,329,18,423,12,6,21,2079,1945,134,Tract: 1393.02\nTotal Population: 4422,navigatela/reports/census_tracts_2010.cfm?PK=139302
318,139303,4186,1120,2251,302,22,409,10,37,35,3415,791,1967,239,18,341,9,27,23,2011,1883,128,Tract: 1393.03\nTotal Population: 4186,navigatela/reports/census_tracts_2010.cfm?PK=139303
319,139401,2645,582,1586,149,21,256,12,13,26,2132,446,1310,115,14,211,11,8,17,1308,1183,125,Tract: 1394.01\nTotal Population: 2645,navigatela/reports/census_tracts_2010.cfm?PK=139401
320,139402,2851,148,2413,51,11,190,9,10,19,2122,100,1808,36,11,140,7,7,13,983,941,42,Tract: 1394.02\nTotal Population: 2851,navigatela/reports/census_tracts_2010.cfm?PK=139402
321,139502,3007,259,2325,54,10,316,14,20,9,2395,196,1880,47,7,234,12,12,7,1247,1192,55,Tract: 1395.02\nTotal Population: 3007,navigatela/reports/census_tracts_2010.cfm?PK=139502
322,139503,4657,537,3420,187,8,430,18,38,19,4071,426,3041,156,8,381,18,28,13,2617,2436,181,Tract: 1395.03\nTotal Population: 4657,navigatela/reports/census_tracts_2010.cfm?PK=139503
323,139504,3476,343,2653,139,7,289,20,11,14,3037,257,2369,121,4,246,18,10,12,1854,1737,117,Tract: 1395.04\nTotal Population: 3476,navigatela/reports/census_tracts_2010.cfm?PK=139504
324,139600,4633,393,3594,199,16,389,9,6,27,3896,315,3051,155,13,332,7,3,20,2273,2121,152,Tract: 1396.00\nTotal Population: 4633,navigatela/reports/census_tracts_2010.cfm?PK=139600
325,139701,4920,319,4091,106,4,366,10,11,13,3855,235,3251,71,4,272,9,5,8,2016,1919,97,Tract: 1397.01\nTotal Population: 4920,navigatela/reports/census_tracts_2010.cfm?PK=139701
326,139702,6250,272,5361,98,13,464,14,11,17,4817,201,4150,71,8,358,11,7,11,2381,2314,67,Tract: 1397.02\nTotal Population: 6250,navigatela/reports/census_tracts_2010.cfm?PK=139702
327,139703,2943,129,2477,50,5,248,7,7,20,2273,104,1925,31,3,189,5,7,9,1028,990,38,Tract: 1397.03\nTotal Population: 2943,navigatela/reports/census_tracts_2010.cfm?PK=139703
328,139801,3539,126,3099,52,7,229,9,9,8,2735,89,2407,37,4,179,8,6,5,1330,1270,60,Tract: 1398.01\nTotal Population: 3539,navigatela/reports/census_tracts_2010.cfm?PK=139801
329,139802,3865,178,3225,100,1,341,1,3,16,3014,131,2555,68,0,253,0,0,7,1405,1372,33,Tract: 1398.02\nTotal Population: 3865,navigatela/reports/census_tracts_2010.cfm?PK=139802
330,141101,4066,490,2891,244,20,357,13,15,36,3489,392,2556,194,16,285,10,15,21,2418,2248,170,Tract: 1411.01\nTotal Population: 4066,navigatela/reports/census_tracts_2010.cfm?PK=141101
331,141102,2869,325,2135,156,6,206,1,20,20,2367,250,1791,123,6,168,1,15,13,1450,1368,82,Tract: 1411.02\nTotal Population: 2869,navigatela/reports/census_tracts_2010.cfm?PK=141102
332,141201,3707,593,2497,284,7,283,7,9,27,3120,464,2160,223,7,233,7,9,17,2024,1892,132,Tract: 1412.01\nTotal Population: 3707,navigatela/reports/census_tracts_2010.cfm?PK=141201
333,141202,2800,253,2181,121,4,203,2,13,23,2334,205,1833,97,4,169,1,11,14,1504,1413,91,Tract: 1412.02\nTotal Population: 2800,navigatela/reports/census_tracts_2010.cfm?PK=141202
334,141302,5504,646,3880,320,18,574,10,20,36,4764,538,3400,273,15,491,9,16,22,3080,2897,183,Tract: 1413.02\nTotal Population: 5504,navigatela/reports/census_tracts_2010.cfm?PK=141302
335,141303,3089,411,2161,192,9,289,3,15,9,2735,327,1960,159,8,258,2,12,9,1784,1680,104,Tract: 1413.03\nTotal Population: 3089,navigatela/reports/census_tracts_2010.cfm?PK=141303
336,141304,2738,236,2100,120,14,229,9,11,19,2303,186,1798,100,13,183,2,9,12,1525,1422,103,Tract: 1413.04\nTotal Population: 2738,navigatela/reports/census_tracts_2010.cfm?PK=141304
337,141400,4412,411,3459,166,9,320,12,19,16,3599,313,2853,124,9,261,10,15,14,2078,1948,130,Tract: 1414.00\nTotal Population: 4412,navigatela/reports/census_tracts_2010.cfm?PK=141400
338,141500,2984,160,2520,45,4,225,6,16,8,2342,129,1990,33,4,167,3,11,5,1166,1128,38,Tract: 1415.00\nTotal Population: 2984,navigatela/reports/census_tracts_2010.cfm?PK=141500
339,141600,4029,219,3379,99,9,307,1,6,9,3236,170,2725,72,8,249,1,6,5,1745,1673,72,Tract: 1416.00\nTotal Population: 4029,navigatela/reports/census_tracts_2010.cfm?PK=141600
340,141700,3091,156,2573,89,6,235,3,14,15,2452,112,2080,64,3,168,3,11,11,1343,1269,74,Tract: 1417.00\nTotal Population: 3091,navigatela/reports/census_tracts_2010.cfm?PK=141700
341,143100,3984,490,2988,184,22,265,3,9,23,3473,390,2648,155,19,237,3,7,14,2277,2093,184,Tract: 1431.00\nTotal Population: 3984,navigatela/reports/census_tracts_2010.cfm?PK=143100
342,143200,3743,705,2285,332,25,341,8,13,34,3251,560,2062,271,25,290,7,10,26,2141,1986,155,Tract: 1432.00\nTotal Population: 3743,navigatela/reports/census_tracts_2010.cfm?PK=143200
343,143300,5871,927,4117,298,25,436,7,23,38,4905,695,3548,244,23,346,5,20,24,3128,2953,175,Tract: 1433.00\nTotal Population: 5871,navigatela/reports/census_tracts_2010.cfm?PK=143300
344,143400,5881,596,4533,252,40,378,4,41,37,4937,477,3850,214,27,310,4,26,29,3181,2935,246,Tract: 1434.00\nTotal Population: 5881,navigatela/reports/census_tracts_2010.cfm?PK=143400
345,143500,4708,383,3723,186,22,342,6,16,30,3876,318,3099,143,18,258,5,12,23,2388,2238,150,Tract: 1435.00\nTotal Population: 4708,navigatela/reports/census_tracts_2010.cfm?PK=143500
346,143602,4260,348,3291,198,27,353,3,11,29,3595,291,2804,164,25,279,3,8,21,2137,2045,92,Tract: 1436.02\nTotal Population: 4260,navigatela/reports/census_tracts_2010.cfm?PK=143602
347,143603,2222,277,1593,125,13,183,1,13,17,1982,227,1457,104,11,157,1,10,15,1310,1244,66,Tract: 1436.03\nTotal Population: 2222,navigatela/reports/census_tracts_2010.cfm?PK=143603
348,143604,3205,413,1964,328,22,427,14,13,24,2991,368,1871,298,20,390,11,12,21,2313,2006,307,Tract: 1436.04\nTotal Population: 3205,navigatela/reports/census_tracts_2010.cfm?PK=143604
