,Geo_FIPS,Geo_TRACT,r_concentrated_disadvantage,r_commute_time,r_median_household_income,a_total_population,a_pop_below_18,a_pop_between_18_34,a_pop_between_34_65,a_pop_over_65,a_occupied_households,a_family_households,a_nonfamily_households,r_average_household_size,r_population_density,a_householder_less_than_high_school,a_householder_high_school_degree,a_householder_some_college,a_householder_bachelors_degree,a_older_than_3_in_school,a_older_than_3_not_in_school,a_not_high_school_grad,a_high_school_grad,a_employed,a_unemployed,a_not_in_labor_force,r_median_house_value,a_30_49_percet_income_to_rent,a_over_50_percent_income_to_rent,a_commuters_by_car_truck_van,a_commuters_by_car_truck_van_alone,a_commuters_by_car_truck_van_carpool,a_children_living_with_single_parents,a_private_sector,a_public_sector,a_self_employed,a_private_non-profit,a_unpaid_family_workers,a_households_social_security_income,a_households_SsI,a_households_retirement_income,a_housing_units,a_vacant_units,a_total_cars
2237,06037910707,910707,0.9513076946904304,41.0,48203.0,4940,1533,1310,1659,438,1412,1049,363,3.5,1920.104,331,381,513,187,1608,3102,20,273,1999,207,1344,211200.0,155,221,1694,1454,240,636,1330,1330,1330,1330,1330,311,92,132,1592,180,3938
2238,06037910709,910709,-0.735645968949825,47.0,79306.0,2006,626,264,847,269,539,417,122,3.72,358.1147,89,144,211,95,679,1249,0,154,773,28,685,349800.0,29,21,687,606,81,159,499,499,499,499,499,185,26,195,539,0,1753
2239,06037910711,910711,0.23381051449901213,41.0,55101.0,7753,2021,1772,3181,779,2217,1793,424,3.49,5591.5,685,508,784,240,2094,5345,0,461,3244,497,2185,180500.0,250,190,2725,2406,319,570,2189,2189,2189,2189,2189,664,284,353,2388,171,6155
2240,06037910712,910712,-0.13502982181978723,45.0,68720.0,2924,740,712,1116,356,669,575,94,4.34,3673.3959999999997,181,146,259,83,963,1817,2,181,1103,130,973,260400.0,45,26,951,822,129,91,816,816,816,816,816,260,76,140,743,74,2117
2241,06037910713,910713,-0.17625726988032184,48.0,61307.0,5705,1715,1544,1946,500,1429,1319,110,3.99,7407.797,358,448,471,152,1797,3706,34,440,2228,200,1775,249500.0,57,78,1994,1512,482,530,1777,1777,1777,1777,1777,384,91,155,1516,87,4515
2242,06037910714,910714,-0.23625045879608583,50.0,61982.0,4113,1420,994,1434,265,909,839,70,4.52,10617.43,331,258,195,125,1506,2399,26,402,1686,129,1133,213900.0,46,128,1458,1131,327,457,1226,1226,1226,1226,1226,226,38,98,948,39,2890
2243,06037910715,910715,0.12488921744679068,44.0,53521.0,6494,1890,1673,2480,451,1904,1431,473,3.41,8466.928,372,482,746,304,2215,3995,12,618,2866,244,1823,223000.0,113,234,2536,1904,632,713,2067,2067,2067,2067,2067,426,81,218,2069,165,5604
2244,06037910716,910716,-0.30821498148909554,45.0,62299.0,5862,1627,1452,2287,496,1681,1292,389,3.49,6191.164000000001,389,235,875,182,1408,4106,0,281,2586,156,1659,261500.0,167,133,2370,1921,449,647,1772,1772,1772,1772,1772,379,122,270,1760,79,5034
2245,06037910804,910804,-1.1643247175552542,53.0,94137.0,2926,484,545,1447,450,1117,837,280,2.62,116.2537,60,190,583,284,589,2238,0,135,1526,56,963,543400.0,0,29,1428,1220,208,97,901,901,901,901,901,365,9,242,1164,47,3662
2246,06037910805,910805,-0.8054300164821631,50.0,111618.0,4687,851,826,2242,768,1582,1144,438,2.82,110.2934,169,290,646,477,971,3543,0,258,2105,151,1645,515700.0,22,51,1811,1620,191,165,1206,1206,1206,1206,1206,499,45,474,1720,138,5025
2247,06037910807,910807,-0.5718370632096602,45.0,109886.0,6245,1533,1388,2625,699,1923,1624,299,3.25,2935.2340000000004,166,298,848,611,1656,4271,0,377,2883,206,1845,455300.0,137,134,2661,2257,404,121,2039,2039,2039,2039,2039,470,54,372,1993,70,6168
2248,06037910808,910808,-0.8889252390154663,44.0,101635.0,3385,787,567,1672,359,1071,880,191,3.16,814.1912,90,174,441,366,842,2411,0,190,1734,103,820,457000.0,41,15,1510,1369,141,132,937,937,937,937,937,297,52,218,1100,29,3322
2249,06037910809,910809,-0.7924649368215699,41.0,138750.0,2131,441,334,907,449,708,560,148,3.01,455.6215,19,66,200,423,469,1610,0,66,955,98,661,913100.0,0,6,806,685,121,14,504,504,504,504,504,250,10,193,748,40,2369
2250,06037910810,910810,-1.1772616547980406,42.0,146364.0,2631,681,546,1179,225,720,666,54,3.65,285.9398,66,119,254,281,664,1819,4,112,1367,46,612,590500.0,22,14,1219,1024,195,116,844,844,844,844,844,152,30,110,794,74,2165
2251,06037910811,910811,-1.5943795787359114,67.0,119712.0,173,0,66,89,18,43,43,0,3.19,1.3859059999999999,0,0,27,16,23,150,0,13,93,6,74,,0,0,42,42,0,0,66,66,66,66,66,8,4,4,64,21,161
2252,06037910812,910812,-0.6088679342334966,48.0,85417.0,333,47,48,162,76,133,104,29,2.5,25.99421,4,20,75,34,38,285,0,0,141,8,137,438000.0,12,4,114,89,25,28,82,82,82,82,82,58,17,45,154,21,386
2253,06037910813,910813,-1.265709542472175,46.0,84048.0,4074,722,864,1778,710,1300,1039,261,3.12,127.8944,127,287,584,302,880,3109,0,246,1948,75,1455,603100.0,8,21,1651,1432,219,75,1146,1146,1146,1146,1146,446,37,279,1361,61,4008
2254,06037911001,911001,-0.21356376838239632,46.0,50732.0,4380,896,708,1878,898,1572,1109,463,2.77,30.39503,325,360,535,352,949,3355,22,177,1585,140,1845,240100.0,78,144,1353,946,407,408,915,915,915,915,915,820,18,443,1784,212,4420
2255,06037920011,920011,-1.1014803360693455,49.0,65000.0,204,11,47,115,31,54,31,23,2.3,3.2360290000000003,8,8,19,19,31,169,0,17,52,0,145,,4,0,48,24,24,4,41,41,41,41,41,19,8,16,91,37,151
2256,06037920012,920012,-0.760216000021941,41.0,64479.0,1023,182,159,471,211,441,257,184,2.32,37.91082,64,51,164,162,176,824,0,32,564,28,276,264500.0,43,14,500,425,75,12,363,363,363,363,363,99,14,91,540,99,1287
2257,06037920013,920013,-1.083757817792525,42.0,125188.0,6516,1538,1191,2674,1113,2072,1624,448,3.14,2007.139,131,266,905,770,1811,4577,0,255,3208,147,1755,494900.0,14,32,2806,2429,377,131,2167,2167,2167,2167,2167,822,100,487,2097,25,6525
2258,06037920015,920015,-1.196179588835892,40.0,140101.0,5706,1587,924,2643,552,1833,1508,325,3.11,2521.849,56,219,758,800,1740,3823,0,322,2948,112,1275,578600.0,25,24,2361,2114,247,135,1811,1811,1811,1811,1811,352,95,454,1864,31,5527
2259,06037920016,920016,-1.1811061772159743,36.0,127422.0,4465,1206,904,1937,418,1354,1200,154,3.3,5458.681,83,130,509,632,1333,2946,0,310,2428,127,905,620700.0,14,56,2086,1775,311,121,1403,1403,1403,1403,1403,310,48,162,1403,49,4242
2260,06037920017,920017,-1.0330111251723972,31.0,105536.0,4491,1067,1093,1749,582,1328,1064,264,3.35,5622.656999999999,60,289,678,301,1205,3159,0,264,2250,62,1274,470800.0,35,10,2007,1527,480,161,1506,1506,1506,1506,1506,374,85,330,1362,34,4061
2261,06037920018,920018,-0.9736081019481668,35.0,106150.0,2095,525,338,1006,226,709,562,147,2.95,5608.241999999999,17,94,356,242,611,1379,0,109,1097,34,506,475400.0,38,22,942,867,75,52,663,663,663,663,663,159,25,112,716,7,2296
2262,06037920020,920020,-0.7372892387156152,36.0,103417.0,6911,1660,1666,2741,844,2032,1515,517,3.38,1651.874,94,302,958,678,2090,4722,0,611,3532,290,1761,518100.0,43,67,3128,2754,374,103,2094,2094,2094,2094,2094,557,150,438,2106,74,6701
