,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_1_km,pop_below_18_1_km,pop_between_18_34_1_km,pop_between_34_65_1_km,pop_over_65_1_km,occupied_households_1_km,family_households_1_km,nonfamily_households_1_km,householder_less_than_high_school_1_km,householder_high_school_degree_1_km,householder_some_college_1_km,householder_bachelors_degree_1_km,older_than_3_in_school_1_km,older_than_3_not_in_school_1_km,not_high_school_grad_1_km,high_school_grad_1_km,employed_1_km,unemployed_1_km,not_in_labor_force_1_km,30_49_percet_income_to_rent_1_km,over_50_percent_income_to_rent_1_km,commuters_by_car_truck_van_1_km,commuters_by_car_truck_van_alone_1_km,commuters_by_car_truck_van_carpool_1_km,children_living_with_single_parents_1_km,private_sector_1_km,public_sector_1_km,self_employed_1_km,private_non-profit_1_km,unpaid_family_workers_1_km,households_social_security_income_1_km,households_SsI_1_km,households_retirement_income_1_km,housing_units_1_km,vacant_units_1_km,total_cars_1_km,commute_time_1_km,median_household_income_1_km,average_household_size_1_km,population_density_1_km,median_house_value_1_km,ev_car_count_1_km,total_sessions,total_connection_time,total_amount,total_kwh
10,AUI-10259,"4977 N Genesta Ave, Los Angeles, CA",34.161293,-118.503322,91316-3402,6037139600,114902.04848417961,5341.625058915176,1036.8303866579845,999.4646566478257,2205.8101589230896,1099.5198566862755,2166.21308134971,1453.9126095022502,4858.098049878741,112.56921424462983,108.2021852835627,487.7529366025,1457.688745219018,1209.2660933867392,3990.2648427202516,5.89440117845902,225.26643242055232,2735.1834685990916,143.64609016362,1086227.6259374684,122.47321301053833,224.4837652992473,2207.8819050821435,2030.298591288174,177.5833137939695,118.17452674863463,1512.25404841532,241.2089326417432,735.6210584091242,231.17831337601604,14.921115756888407,672.5969546415956,57.39564726785741,346.89851735174074,2398.2470346068235,232.03395325711278,-0.6969824735612866,34.852161554479046,642.0441077682883,2.4888004262605516,1485.8034347299292,143.71175178804373,205,488:56,593.55,2816.475
11,AUI-10228,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.48802179999998,91436,6037139701,124693.09552810699,4787.831060446336,971.0183001200098,902.3392668068815,1857.3666514627814,1057.1068420566623,1830.7402265872597,1242.1998280691444,4400.362528002624,80.9121555548045,173.54461785902183,351.9480639808127,1224.3353891926206,1161.0596915111885,3505.5595014267974,6.514046532141145,171.88347135960487,2443.9393159321544,74.097968149457,983936.2207263729,150.3352608587375,194.33295771377337,1922.027990492372,1803.0792541047658,118.94873638760652,160.51694252929585,1418.8587575099625,171.85274440079803,678.8282449425878,170.99922512441088,3.400343954394876,669.2793183553066,53.9289611810028,288.56550910897965,1959.4717025480693,128.73147596080986,-1.028742918752949,32.58404344668767,552.0088727204245,2.658280910337954,1523.8320310550175,171.18187354212682,195,384:43,397.88,1725.87
12,AUI-10345,"5093 Alonzo Ave, Los Angeles, CA",34.16253270000001,-118.520257,91316,6037139502,214172.77073146278,14386.270173960345,2424.546285836279,3376.541111312319,5817.485756888484,2767.697019923262,6339.328209615365,3644.741107717449,84415.95881216649,341.79250750339514,883.7708176008111,1912.1487625283103,3201.616121982849,3436.0168746874165,10554.888227614665,0.07760210800009468,502.87717099205895,7661.381069447673,648.0222093158038,2121673.4805991966,837.5545695216051,1365.6193778676848,6251.544146528471,5833.057026940207,418.48711958826374,886.0889034795106,4658.896784322575,737.6204185250184,1641.9111964046328,611.0568739999815,11.895796195465122,1810.3008642047635,477.3707531701502,764.6623440149888,6731.643165775198,392.31495615983204,-0.18169452700236088,35.421003028848254,643.1367090913509,2.4159336098336808,1166.5066419539094,124.36079590872191,82,301:43,0.0,1487.609
13,AUI-10248,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,91311,6037113303,74142.87913286727,5135.22956193338,1120.294216503029,1262.1606331585208,1987.1762909959334,765.5984212758957,1620.0841861778351,1213.6882193610052,4793.430780545523,157.42723194201363,377.6630520277896,586.6551016858652,498.3388005221667,1423.370345824223,3559.118017424523,9.640418155472986,292.1942728882113,2591.7696051994308,150.50815610953867,519808.1250414214,190.18584996072056,217.50017570029271,2169.8971733516473,1896.9141928585186,272.9829804931286,244.01684719695442,1762.2740494642248,269.7529292669101,332.42027031288796,215.15761295928473,12.164743196123085,470.2679734156819,130.0800904331436,253.10605611259246,1666.7840866808917,46.69990050305661,-0.3072392447685269,29.23175721359979,390.71596458355725,3.025386104996778,1456.0935234146748,37.45573912047628,29,62:49,78.53,274.83
14,AUI-10328,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.29749869999999,90710-2805,6037294421,221512.97831890167,13830.49004453066,3534.0779203336992,3362.493171942639,5640.5137633319355,1293.4051889223838,4564.325234012693,3247.6957622884042,62510.7357384051,1144.1138738478435,997.7561339431563,1466.7522283552937,955.7029978663992,3881.366746985942,9419.173091385359,78.98360289735223,717.6600740278059,6715.387976853791,647.59044068181,1614245.220597623,710.704023443185,668.9174592812724,5617.498428954144,5011.6366726852875,605.8617562688572,1108.5467529021112,5124.311177580099,572.7093880778712,657.2392000405144,307.65481205118675,53.473399104119395,976.9415438687365,254.66440557855708,453.2096385042569,4791.142457134425,226.81722312173218,0.5967293178203176,28.26276522894329,282.6418791862441,2.750552975175257,692.7965127503078,78.29763251186681,5,0:22,1.0,2.31
15,AUI-10237,"25820 S Western Ave, Los Angeles, CA",33.78875120000001,-118.3074043,90717,6037293307,290105.63184130844,17085.506868154167,3678.9680913134466,4108.635105687094,7175.25124028628,2122.652430867345,5979.703577238795,4095.1015216000296,69256.94935495606,1157.6333974829756,1422.2341603198674,1806.4503472556498,1593.3856721803027,4336.6985050452995,12136.654043733763,43.69435926014293,725.8698930132326,8886.31167209481,656.6198084230365,2134436.0358288707,856.3484837234821,823.429308996403,7470.470139361545,6837.4913456847125,632.9787936768314,957.7508765019091,6458.4220504182,917.9343508950686,984.0313866536239,440.80565210999436,85.11823201792498,1516.0358822106325,310.4642004366043,672.9336176083531,6262.825934130954,283.1223568921591,-0.0887029062029139,26.930565138009086,516.4497948410918,2.8442451631787864,1075.8830252207138,94.25796101572905,12,4:32,7.01,18.392
16,AUI-10214,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,90732,6037297000,153604.53282421004,7455.034561386482,1486.8665656830728,1566.44335534425,3147.804247931127,1253.9203924280318,2963.394611534217,1938.6027435817464,16988.59009418895,211.49573429014606,596.7112404440334,953.5559472313635,1201.6316895686743,1664.997578250029,5574.077659572447,5.5271438765252485,310.62243160618664,3691.3842609442195,340.3153896059672,1154522.01145888,406.4585503098475,264.1469227308323,3236.8085958044576,3006.1043405942874,230.70425521016958,288.84929077943144,2593.6265546135733,576.1669993010349,331.3336135190738,186.57266294997086,3.6844305605673235,850.9825705666816,116.64688025785377,639.5295054491859,3230.862129204878,267.4675176706603,-0.5198470932925608,29.005646784183288,547.0082564566126,2.5616872255506498,1218.2858926954991,71.96252386330497,35,108:46,122.04,671.11
17,AUI-10262,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,91604,6037143500,195423.42526513513,11188.09135844635,2136.4127608134163,2449.676979281512,5011.065944664627,1590.9356736867949,4963.928373066489,2772.623664072418,20110.823049224433,144.6972831308214,414.52989679815414,1389.1363338019873,3015.564859335527,2259.2611712767907,8571.95097554039,0.0,266.0440571005123,6578.542496605355,546.3762310394793,1837646.6266800836,648.1004794673504,665.6636195955567,5205.425653332937,4762.390213210115,443.0354401228223,549.5542698577492,4215.129844244768,376.3913669630823,1593.4465465943144,375.7041920016635,17.870546801526274,1055.0445179165438,130.87695189122286,470.39100900159167,5322.308825637762,358.38045257127243,-0.06730944620938979,33.08116468510889,1089.3751133372148,2.292221223098105,1111.7574840405962,227.6096253881138,217,689:17,746.87,2478.2110000000002
18,AUI-10224,"23743 W Roscoe Blvd, Los Angeles, CA",34.219302899999995,-118.644998,91304,6037113231,111334.84878270165,2649.34600738665,467.88621087771764,487.50875743450763,1125.6215680023897,568.3294710720348,927.3163606441726,705.8080664550548,2980.1392395243847,22.07754801406292,124.51419456457944,233.317405386668,547.4072126788623,618.6388241726537,1971.1975591696023,0.08848475643840145,98.34297865591908,1286.1960864181435,93.3258771834363,709593.9138809831,22.75303361502683,58.45713998404699,1044.1228716655035,939.5630478062538,104.55982385924958,56.34773198193206,808.607168390565,110.2508669118115,274.4912322452666,81.95681206882769,10.89000680167276,371.3641533197644,44.29519506605115,208.85499721737642,938.5806571680882,11.264296523915538,-0.8605111038433029,33.64507488563197,166.32582894660612,2.910082015346556,757.1799365541917,55.164323361793656,96,189:25,123.71,862.1519999999999
19,AUI-10269,"17729 Chatsworth Ave, Los Angeles, CA",34.265103700000004,-118.5208745,91344,6037111202,123981.12854564229,9317.666741065334,2102.1372598874864,1999.6320125026152,3919.1928917481514,1296.7045769270787,3219.657178640607,2162.393625265176,12362.67243220577,227.91780915866104,534.7934089737523,1181.0710704530395,1275.8748900551539,2641.6058481773234,6404.091583726213,15.347504470625154,628.9948561456707,4669.354284976265,259.6032034678824,911249.8687013352,398.82604708895883,393.3174065692958,4002.554436739214,3553.1218083418166,449.43262839739714,342.57408047338316,3006.047546679181,692.0617249180568,653.5222777577494,316.35500940321054,1.367726218068021,848.3359294317246,223.72152743274108,479.9869824153094,3574.094538671041,354.4373600304341,-0.5880543554978243,32.34756912932961,664.1410904267915,2.8869443925901592,1698.4251549722023,79.85806224630899,89,246:32,112.01,1389.7679999999998
