,Station,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,Total Sessions,Total Connection Time,Total Amount,Total kWh
63,AUI-10235,34.2609217,-118.4031581,91331,6037104704,0.5215081807051171,33.0,1.102642901044868,48581.0,102,260:23,246.43,1462.296
64,AUI-10206,34.2479199,-118.2792176,91042,6037101220,-0.13476839107873534,30.0,0.4241851676901275,41728.0,108,259:11,199.01,1055.438
65,AUI-10266,34.180236,-118.5055565,91316,6037980024,-1.5011055546267231,29.0,1.5315315315315314,124038.0,25,32:46,43.81,186.468
66,AUI-10264,34.2011905,-118.4515324,91405,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,45,82:41,74.99,360.14099999999996
67,AUI-10229,34.3116785,-118.47127240000002,91312,6037106510,-0.8361951370590566,37.0,0.9611111111111112,91983.0,121,346:09,109.57,2017.355
68,AUI-10247,34.2011905,-118.4515324,91405,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,25,65:38,2.08,393.226
69,AUI-10251,33.990557,-118.46648229999998,90291,6037273502,0.2050678044182633,31.0,0.17252173913043478,83304.0,96,258:10,106.31,1318.231
70,AUI-10267,34.2019429,-118.45124990000001,91401-2649,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,12,27:49,6.58,76.58
71,AUI-10249,34.02090310000001,-118.40455790000001,90034-5702,6037269903,0.17059053417553974,27.0,0.2174977057204038,59757.0,126,440:55,212.56,1887.829
72,AUI-10236,33.9308114,-118.29072420000001,90047-4899,6037241202,1.3547828404168265,37.0,0.6640816326530612,40596.0,18,45:07,84.45,165.544
73,AUI-10233,34.06483,-118.194347,90032,6037201402,0.1366635032630607,33.0,1.2251867662753468,56698.0,111,188:55,262.68,1119.677
74,AUI-10231,34.0452966,-118.3865051,90035-4232,6037269500,-0.96317497384883,24.0,0.6488651535380507,168224.0,70,207:03,173.01,934.29
75,AUI-10238,34.0288024,-118.3898835,90034,6037270100,-0.6441939144680285,25.0,0.21925925925925926,66071.0,12,17:12,13.91,98.87299999999999
76,AUI-10289,34.160959399999996,-118.50185929999999,91316-3402,6037139600,-0.21685336307918915,36.0,0.4140256237356709,79023.0,71,146:56,4.35,800.247
77,AUI-10285,34.03898820000001,-118.4303435,90064,6037267800,-0.4460177468933856,22.0,0.17993920972644378,73049.0,12,24:52,17.25,93.62100000000001
78,AUI-10291,34.099644399999995,-118.2054051,90042,6037185100,0.008000886339455247,35.0,0.8802568218298555,101103.0,18,27:10,10.89,141.67700000000002
79,AUI-10293,34.2019408,-118.4857003,91406,6037127400,0.057101535699511735,29.0,0.6130622304374614,48193.0,19,57:45,4.23,354.824
80,AUI-10280,34.162938200000006,-118.4926688,91436,6037139701,-1.11512109762523,34.0,0.9671266233766234,144337.0,28,33:16,18.19,149.297
81,AUI-10277,34.0029364,-118.2876652,90037,6037232110,1.0203571970413574,37.0,0.3363994743758213,32266.0,36,45:27,89.72,225.828
82,AUI-10279,33.8654075,-118.2819881,90248,6037291300,-1.072547828503879,31.0,1.0729646697388633,79034.0,15,15:46,2.63,72.048
83,AUI-10284,33.892170899999996,-118.28323300000001,90248,6037291210,0.5289360488229312,26.0,0.626465661641541,54297.0,14,7:46,3.73,51.065
84,AUI-10283,34.1720633,-118.5337705,91356,6037139401,-0.4558990901289856,34.0,0.16292848074481592,63048.0,49,141:55,58.79,712.2739999999999
85,AUI-10286,34.202333,-118.59786100000001,91303,6037134522,0.8556316318391715,30.0,0.2846832397754611,37003.0,32,35:18,14.29,186.003
86,AUI-10326,34.056798799999996,-118.36155790000001,90019,6037216900,0.026990705669688503,27.0,0.1283684468397844,69968.0,19,49:47,12.74,247.75
87,AUI-10315,34.2793651,-118.45746000000001,91345,6037109100,-0.3109107531128028,28.0,1.3199588477366255,59792.0,5,0:46,0.0,5.003
88,AUI-10282,34.1651823,-118.3590241,91601,6037125310,0.30520341796600764,28.0,0.3247696174253002,53022.0,31,53:50,36.72,297.783
89,AUI-10308,34.075306,-118.28076899999999,90004-3624,6037195802,-0.025965694948018092,32.0,0.5265405735204393,58981.0,186,484:40,68.33,2183.1479999999997
90,AUI-10314,34.200408,-118.5718745,91371,6037134800,-0.7190652338073544,34.0,1.2710997442455243,80109.0,30,267:15,6.43,420.76800000000003
91,AUI-10309,34.2198591,-118.5713659,91306-1630,6037134103,-0.4327925636292579,30.0,0.8007747648035418,76250.0,37,56:17,24.28,360.48199999999997
92,AUI-10288,34.04013,-118.45341029999999,90025,6037267501,-0.418483388645888,23.0,0.15417428397318708,79531.0,28,130:57,54.91,673.095
93,AUI-10298,34.029833700000005,-118.4116094,90034,6037269904,-0.18333397210273955,24.0,0.02044989775051125,68865.0,3,0:14,0.0,1.456
94,AUI-10302,34.032807899999995,-118.23836299999999,90021,6037206031,-0.8536082280395552,29.0,0.1698677974557246,90590.0,84,142:56,16.11,582.168
95,AUI-10287,34.028657700000004,-118.4290429,90064-1508,6037271702,-0.33943096658366073,26.0,0.18206278026905828,61063.0,95,403:47,0.0,1778.145
