,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,ev_car_count
66,AUI-10264,"12728 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,91405,6037127220,-0.4334956535343201,31.348484848484848,0.9486278115660446,94092.51515151515,4610.212121212121,1003.560606060606,1054.3181818181818,1873.2424242424242,679.0909090909091,479.3484848484849
67,AUI-10229,"15596 W Roxford St, Los Angeles, CA",34.3116785,-118.47127240000002,91312,6037106510,-0.2303913434983114,36.741379310344826,1.2928565928646447,75026.53448275862,2722.5862068965516,581.948275862069,630.0689655172414,1123.1724137931035,387.3965517241379,455.1060606060606
68,AUI-10247,"13194 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,91405,6037127220,-0.4334956535343201,31.348484848484848,0.9486278115660446,94092.51515151515,4610.212121212121,1003.560606060606,1054.3181818181818,1873.2424242424242,679.0909090909091,479.3484848484849
69,AUI-10251,"1348 Abbot Kinney Blvd, Los Angeles, CA",33.990557,-118.46648229999998,90291,6037273502,-0.48171430573940494,26.956521739130434,0.46675105327629984,129658.72727272728,1863.1636363636364,320.56363636363636,499.2909090909091,724.1818181818181,319.1272727272727,815.2894736842105
70,AUI-10267,"13629 W Sherman Way, Los Angeles, CA",34.2019429,-118.45124990000001,91401-2649,6037127220,-0.43407305157582565,31.40909090909091,0.9485891416341512,94068.19696969698,4616.257575757576,1013.5151515151515,1041.2272727272727,1882.8636363636363,678.6515151515151,481.469696969697
71,AUI-10249,"3773 Motor Ave, Los Angeles, CA",34.0209031,-118.40455790000001,90034-5702,6037269903,0.10519834292966361,29.047619047619047,0.4106845669303526,90004.76315789473,3914.690476190476,530.047619047619,1438.4285714285713,1389.3095238095239,556.9047619047619,632.1515151515151
72,AUI-10236,"840 Imperial Hwy, Los Angeles, CA",33.9308114,-118.29072420000001,90047-4899,6037241202,0.5704034763383294,36.285714285714285,0.677894314981404,43310.0,4754.857142857143,1280.5714285714287,1261.857142857143,1758.0714285714287,454.35714285714283,168.57575757575756
73,AUI-10233,"4121 Valley Blvd, Los Angeles, CA",34.06483,-118.194347,90032,6037201402,0.036991753523876264,31.689655172413794,0.4145212978884836,61919.93103448276,3814.137931034483,688.2413793103449,1262.4137931034484,1442.5862068965516,420.8965517241379,373.93939393939394
74,AUI-10231,"1862 Robertson Blvd, Los Angeles, CA",34.0452966,-118.3865051,90035-4232,6037269500,0.0423953909349877,29.92452830188679,0.4708574252946145,92045.51020408163,3826.509433962264,620.0754716981132,1155.698113207547,1482.1509433962265,568.5849056603773,623.5454545454545
75,AUI-10238,"8931 Venice Blvd, Los Angeles, CA",34.0288024,-118.3898835,90034,6037270100,-0.08829165601020159,27.714285714285715,0.44832010892079976,89896.73076923077,4516.464285714285,741.6071428571429,1410.607142857143,1730.3035714285713,633.9464285714286,603.6363636363636
76,AUI-10289,"4940 Paso Robles Ave, Los Angeles, CA",34.160959399999996,-118.50185929999999,91316-3402,6037139600,-0.5772883785811979,32.07692307692308,0.7310202834889437,130442.52307692308,3454.8030303030305,713.4242424242424,784.6060606060606,1408.1060606060605,548.6666666666666,794.469696969697
77,AUI-10285,"10928 W Pico Blvd, Los Angeles, CA",34.038988200000006,-118.4303435,90064,6037267800,-0.600354204319758,27.97872340425532,0.5970902862613918,135704.5744680851,4351.68085106383,788.063829787234,957.8297872340426,1880.7446808510638,725.0425531914893,763.0757575757576
78,AUI-10291,"4647 Marmion Way, Los Angeles, CA",34.099644399999995,-118.2054051,90042,6037185100,0.37099401251049596,29.291666666666668,0.26853916134306605,56553.13043478261,3477.3333333333335,548.0416666666666,1158.75,1325.9166666666667,444.625,448.1363636363636
79,AUI-10293,"7224 Valjean Ave, Los Angeles, CA",34.2019408,-118.4857003,91406,6037127400,-0.4216948002372439,31.106060606060606,0.9153189776895668,93799.72727272728,4708.530303030303,944.7424242424242,1156.3030303030303,1882.090909090909,725.3939393939394,504.7910447761194
80,AUI-10280,"16501 Otsego St, Los Angeles, CA",34.162938200000006,-118.4926688,91436,6037139701,-0.6336276292449684,31.90909090909091,0.8591800764112604,126471.01515151515,3790.8333333333335,770.3939393939394,824.530303030303,1552.9848484848485,642.9242424242424,738.6212121212121
81,AUI-10277,"4424 Wesley Ave., Los Angeles, CA",34.0029364,-118.2876652,90037,6037232110,0.35058716701772386,32.256410256410255,0.31823313239230244,46971.18421052631,3970.25641025641,778.0,1092.871794871795,1594.076923076923,505.3076923076923,211.83333333333334
